n-gram,next_word,freq
"(1, 176, 993, 4)",38,1
"(176, 993, 4, 38)",580,1
"(993, 4, 38, 580)",40,1
"(4, 38, 580, 40)",2082,1
"(38, 580, 40, 2082)",2083,1
"(580, 40, 2082, 2083)",20,1
"(40, 2082, 2083, 20)",1158,1
"(20, 8, 165, 242)",7,1
"(8, 165, 242, 7)",994,1
"(165, 242, 7, 994)",24,1
"(242, 7, 994, 24)",418,1
"(7, 994, 24, 418)",1159,1
"(994, 24, 418, 1159)",4,1
"(24, 418, 1159, 4)",17,1
"(1, 351, 2, 6)",1337,2
"(351, 2, 6, 1337)",713,2
"(2, 6, 1337, 713)",52,2
"(6, 1337, 713, 52)",581,2
"(1337, 713, 52, 581)",39,2
"(713, 52, 581, 39)",212,2
"(52, 581, 39, 212)",1,2
"(581, 39, 212, 1)",294,2
"(39, 212, 1, 294)",2,2
"(212, 1, 294, 2)",530,2
"(1, 294, 2, 530)",206,2
"(1, 176, 67, 192)",5,5
"(176, 67, 192, 5)",779,1
"(67, 192, 5, 779)",2084,1
"(192, 5, 779, 2084)",20,1
"(5, 779, 2084, 20)",531,1
"(779, 2084, 20, 531)",116,1
"(2084, 20, 531, 116)",867,1
"(20, 531, 116, 867)",3,1
"(1, 192, 48, 2085)",5,1
"(192, 48, 2085, 5)",2944,1
"(48, 2085, 5, 2944)",1160,1
"(2085, 5, 2944, 1160)",5,1
"(5, 2944, 1160, 5)",148,1
"(2944, 1160, 5, 148)",223,1
"(1160, 5, 148, 223)",193,1
"(5, 148, 223, 193)",488,1
"(148, 223, 193, 488)",532,1
"(223, 193, 488, 532)",2086,1
"(193, 488, 532, 2086)",202,1
"(488, 532, 2086, 202)",20,1
"(532, 2086, 202, 20)",6,1
"(2086, 202, 20, 6)",2945,1
"(7, 12, 1161, 203)",868,1
"(12, 1161, 203, 868)",4,1
"(1161, 203, 868, 4)",112,1
"(203, 868, 4, 112)",9,1
"(868, 4, 112, 9)",453,1
"(4, 112, 9, 453)",186,1
"(112, 9, 453, 186)",295,1
"(9, 453, 186, 295)",582,1
"(453, 186, 295, 582)",1,1
"(186, 295, 582, 1)",257,1
"(295, 582, 1, 257)",10,1
"(582, 1, 257, 10)",110,1
"(57, 2, 1, 453)",9,1
"(2, 1, 453, 9)",28,1
"(1, 453, 9, 28)",49,1
"(453, 9, 28, 49)",646,1
"(9, 28, 49, 646)",19,1
"(28, 49, 646, 19)",9,1
"(49, 646, 19, 9)",78,1
"(646, 19, 9, 78)",10,1
"(19, 9, 78, 10)",65,1
"(9, 78, 10, 65)",11,1
"(78, 10, 65, 11)",1,1
"(10, 65, 11, 1)",309,1
"(65, 11, 1, 309)",2,1
"(16, 268, 6, 58)",80,1
"(268, 6, 58, 80)",7,1
"(6, 58, 80, 7)",780,1
"(58, 80, 7, 780)",4,1
"(80, 7, 780, 4)",454,1
"(7, 780, 4, 454)",2087,1
"(780, 4, 454, 2087)",1,1
"(4, 454, 2087, 1)",2947,1
"(454, 2087, 1, 2947)",2,1
"(2087, 1, 2947, 2)",1,1
"(1, 2947, 2, 1)",352,1
"(2947, 2, 1, 352)",3,1
"(2, 1, 352, 3)",213,1
"(1, 352, 3, 213)",9,1
"(352, 3, 213, 9)",869,1
"(3, 213, 9, 869)",48,1
"(213, 9, 869, 48)",489,1
"(9, 869, 48, 489)",4,1
"(869, 48, 489, 4)",244,1
"(48, 489, 4, 244)",128,1
"(489, 4, 244, 128)",3,1
"(4, 244, 128, 3)",490,1
"(244, 128, 3, 490)",4,1
"(128, 3, 490, 4)",6,1
"(3, 490, 4, 6)",870,1
"(1, 351, 2, 781)",2088,1
"(351, 2, 781, 2088)",2948,1
"(2, 781, 2088, 2948)",15,1
"(781, 2088, 2948, 15)",455,1
"(2088, 2948, 15, 455)",4,1
"(2948, 15, 455, 4)",19,1
"(15, 455, 4, 19)",42,1
"(455, 4, 19, 42)",489,1
"(4, 19, 42, 489)",245,1
"(19, 42, 489, 245)",3,1
"(42, 489, 245, 3)",90,1
"(489, 245, 3, 90)",1,1
"(245, 3, 90, 1)",68,1
"(3, 90, 1, 68)",2949,1
"(90, 1, 68, 2949)",10,1
"(16, 11, 6, 375)",9,1
"(11, 6, 375, 9)",2089,1
"(6, 375, 9, 2089)",310,1
"(375, 9, 2089, 310)",1,1
"(9, 2089, 310, 1)",2090,1
"(2089, 310, 1, 2090)",3,1
"(310, 1, 2090, 3)",353,1
"(1, 2090, 3, 353)",2,1
"(2090, 3, 353, 2)",583,1
"(3, 353, 2, 583)",3,1
"(353, 2, 583, 3)",84,1
"(2, 583, 3, 84)",77,1
"(583, 3, 84, 77)",2,1
"(3, 84, 77, 2)",1,2
"(84, 77, 2, 1)",74,1
"(77, 2, 1, 74)",354,1
"(2, 1, 74, 354)",1,1
"(1, 74, 354, 1)",996,1
"(14, 22, 311, 871)",66,1
"(22, 311, 871, 66)",11,1
"(311, 871, 66, 11)",258,1
"(871, 66, 11, 258)",5,1
"(66, 11, 258, 5)",2091,1
"(11, 258, 5, 2091)",90,1
"(258, 5, 2091, 90)",2950,1
"(5, 2091, 90, 2950)",28,1
"(2091, 90, 2950, 28)",49,1
"(90, 2950, 28, 49)",2951,1
"(2950, 28, 49, 2951)",10,1
"(28, 49, 2951, 10)",1,1
"(49, 2951, 10, 1)",224,1
"(2951, 10, 1, 224)",419,1
"(10, 1, 224, 419)",2952,1
"(1, 224, 419, 2952)",10,1
"(224, 419, 2952, 10)",40,1
"(419, 2952, 10, 40)",647,1
"(2952, 10, 40, 647)",55,1
"(10, 40, 647, 55)",376,1
"(40, 647, 55, 376)",46,1
"(647, 55, 376, 46)",997,1
"(55, 376, 46, 997)",166,1
"(376, 46, 997, 166)",2,1
"(46, 997, 166, 2)",246,1
"(997, 166, 2, 246)",26,1
"(166, 2, 246, 26)",40,1
"(2, 246, 26, 40)",420,1
"(246, 26, 40, 420)",39,1
"(26, 40, 420, 39)",1,1
"(40, 420, 39, 1)",2092,1
"(420, 39, 1, 2092)",2,1
"(39, 1, 2092, 2)",276,1
"(1, 2092, 2, 276)",69,1
"(2092, 2, 276, 69)",648,1
"(2, 276, 69, 648)",998,1
"(276, 69, 648, 998)",4,1
"(69, 648, 998, 4)",23,1
"(648, 998, 4, 23)",2953,1
"(998, 4, 23, 2953)",1,1
"(4, 23, 2953, 1)",284,1
"(23, 2953, 1, 284)",35,1
"(2953, 1, 284, 35)",12,1
"(1, 284, 35, 12)",2954,1
"(284, 35, 12, 2954)",999,1
"(35, 12, 2954, 999)",32,1
"(12, 2954, 999, 32)",60,1
"(2954, 999, 32, 60)",14,1
"(999, 32, 60, 14)",214,1
"(32, 60, 14, 214)",3,1
"(14, 245, 649, 206)",3,1
"(245, 649, 206, 3)",872,1
"(649, 206, 3, 872)",40,1
"(206, 3, 872, 40)",85,1
"(3, 872, 40, 85)",166,1
"(872, 40, 85, 166)",2,1
"(40, 85, 166, 2)",312,1
"(85, 166, 2, 312)",3,1
"(166, 2, 312, 3)",873,1
"(2, 312, 3, 873)",5,1
"(312, 3, 873, 5)",1,1
"(3, 873, 5, 1)",225,1
"(873, 5, 1, 225)",1338,1
"(5, 1, 225, 1338)",1339,1
"(1, 225, 1338, 1339)",533,1
"(225, 1338, 1339, 533)",66,1
"(1338, 1339, 533, 66)",11,1
"(1339, 533, 66, 11)",207,1
"(533, 66, 11, 207)",1,1
"(66, 11, 207, 1)",1633,1
"(11, 207, 1, 1633)",2,1
"(207, 1, 1633, 2)",6,1
"(1, 1633, 2, 6)",377,1
"(1633, 2, 6, 377)",1340,1
"(2, 6, 377, 1340)",277,1
"(6, 377, 1340, 277)",206,1
"(377, 1340, 277, 206)",116,1
"(1340, 277, 206, 116)",113,1
"(277, 206, 116, 113)",3,1
"(206, 116, 113, 3)",259,1
